"2021-04-23 00:09:58 [main] INFO  c.e.s.SpringHillelApplication - Starting SpringHillelApplication using Java 13.0.2 on DESKTOP-PI8E00V with PID 19676 (C:\Users\aandr\IdeaProjects\spring-hillel\target\classes started by aandr in C:\Users\aandr\IdeaProjects\spring-hillel)
""2021-04-23 00:10:02 [main] INFO  c.e.springhillel.aop.LoggingAspect - Method public void com.example.springhillel.config.MvcConfiguration.addInterceptors(org.springframework.web.servlet.config.annotation.InterceptorRegistry) finished. Operating time - 2 ms.
""2021-04-23 00:10:02 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
""2021-04-23 00:10:02 [main] INFO  c.e.springhillel.aop.LoggingAspect - public springfox.documentation.spring.web.plugins.Docket com.example.springhillel.config.SwaggerConfiguration.apiDocket() method started working.
""2021-04-23 00:10:02 [main] INFO  c.e.springhillel.aop.LoggingAspect - Method public springfox.documentation.spring.web.plugins.Docket com.example.springhillel.config.SwaggerConfiguration.apiDocket() finished. Operating time - 7 ms.
""2021-04-23 00:10:03 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2021-04-23 00:10:03 [main] WARN  o.s.b.a.batch.JpaBatchConfigurer - JPA does not support custom isolation levels, so locks may not be taken when launching Jobs
""2021-04-23 00:10:03 [main] INFO  o.s.b.c.r.s.JobRepositoryFactoryBean - No database type set, using meta data indicating: MYSQL
""2021-04-23 00:10:03 [main] INFO  o.s.b.c.l.support.SimpleJobLauncher - No TaskExecutor has been set, defaulting to synchronous executor.
""2021-04-23 00:10:03 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
""2021-04-23 00:10:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8880 (http) with context path '/bug-tracker'
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteByIdUsingDELETE_1
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_1
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_1
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingPUT_1
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteByIdUsingDELETE_2
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_2
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_2
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_2
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingPUT_2
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteByIdUsingDELETE_3
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_3
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_3
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_3
""2021-04-23 00:10:03 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateUsingPUT_3
""2021-04-23 00:10:03 [scheduling-1] INFO  c.e.springhillel.aop.LoggingAspect - public void com.example.springhillel.config.SpringSchedulingConfiguration.scheduleFixedDelayTask() throws org.springframework.batch.core.repository.JobInstanceAlreadyCompleteException,org.springframework.batch.core.repository.JobExecutionAlreadyRunningException,org.springframework.batch.core.JobParametersInvalidException,org.springframework.batch.core.repository.JobRestartException method started working.
""2021-04-23 00:10:03 [main] INFO  c.e.s.SpringHillelApplication - Started SpringHillelApplication in 5.695 seconds (JVM running for 6.78)
""2021-04-23 00:10:03 [main] INFO  o.s.b.a.b.JobLauncherApplicationRunner - Running default command line with: []
""2021-04-23 00:10:04 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=importTicketJobTest1]] launched with the following parameters: [{JobID=1619125803870}]
""2021-04-23 00:10:04 [main] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=importTicketJobTest1]] launched with the following parameters: [{}]
""2021-04-23 00:10:04 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [step1]
